participant_id,real_weight,virtual_weight,borg,q2,q9,q11,q17,q18,q32,q37,q38,q21,q36,q40,q54,q56,q60,q30,q48,q61,q70
4,PC,PV,13,6,3,2,3,0,5,3,7,8,7,0,7,5,8,1,5,4,2
5,PC,PV,11,3,4,5,3,3,9,3,9,9,6,6,9,1,9,1,6,4,1
6,PC,PV,11,9,10,9,10,10,9,9,9,9,10,10,10,9,10,9,9,9,8
7,PC,PV,13,3,4,3,6,4,6,3,3,10,8,7,10,8,10,7,2,2,8
8,PC,PV,15,7,6,3,5,6,7,8,6,8,8,6,7,7,7,7,8,9,9
9,PC,PV,12,6,9,6,8,8,6,6,6,9,9,9,8,9,9,9,9,8,9
10,PC,PV,11,7,7,7,8,7,9,7,9,9,8,7,8,9,8,7,7,8,7
11,PC,PV,9,9,9,9,10,10,9,5,8,10,10,9,10,10,10,10,0,3,10
12,PC,PV,6,3,2,3,0,2,8,1,5,9,7,8,10,10,9,0,5,9,0
13,PC,PV,6,3,6,1,6,3,1,1,2,4,7,7,4,7,4,5,8,8,1
14,PC,PV,8,4,3,4,3,3,4,6,6,7,6,6,8,9,8,2,8,7,1
15,PC,PV,6,2,4,1,0,1,2,1,2,10,10,10,10,10,10,0,7,3,0
16,PC,PV,7,5,7,3,6,3,7,2,5,8,3,1,5,7,5,8,5,7,8
17,PC,PV,12,8,7,7,7,7,7,7,7,8,7,8,8,7,8,6,6,6,5
18,PC,PV,11,9,8,9,8,7,6,7,5,10,9,1,9,10,9,3,9,9,1
19,PC,PV,16,4,4,3,4,4,9,3,7,7,9,5,9,9,8,2,6,5,1
20,PC,PV,12,2,3,1,3,2,5,3,3,2,1,0,5,9,6,3,8,7,3
21,PC,PV,11,6,9,3,9,9,9,7,8,9,9,8,9,8,9,9,4,6,4
22,PC,PV,11,9,9,7,7,7,6,7,7,10,10,9,10,9,8,7,5,3,7
23,PC,PV,9,6,7,4,6,9,10,4,9,7,7,6,8,10,10,4,8,9,6
24,PC,PV,13,6,8,8,6,9,9,8,6,6,7,8,9,10,8,8,9,9,10
25,PC,PV,7,8,8,7,6,6,5,6,4,9,9,9,8,10,8,8,7,6,10
26,PC,PV,7,8,9,8,9,9,9,9,9,9,7,0,9,9,9,9,9,8,7
27,PC,PV,12,9,9,7,7,8,9,6,8,10,9,8,8,10,9,8,8,7,8
28,PC,PV,7,7,8,6,7,5,5,6,6,6,7,7,8,9,8,8,7,8,7
29,PC,PV,11,6,6,2,5,5,7,8,5,7,7,3,7,5,8,5,8,8,6
30,PC,PV,10,8,7,3,7,6,7,9,8,7,8,7,7,5,9,7,8,8,5
31,PC,PV,8,8,9,9,8,9,9,9,7,8,9,8,10,10,9,10,9,9,9
32,PC,PV,7,6,6,3,5,7,8,3,6,7,7,7,9,9,6,8,9,9,8
1,HC,HV,6,2,5,2,4,2,3,1,3,3,4,1,3,7,2,3,5,6,1
2,HC,HV,16,2,5,2,4,2,3,1,3,3,4,1,3,7,2,3,5,6,1
3,HC,HV,11,6,6,7,6,6,7,6,8,9,8,7,9,6,9,6,6,5,5
4,HC,HV,12,6,3,3,3,1,4,3,1,8,5,0,7,7,8,2,7,3,2
5,HC,HV,14,8,5,6,5,6,8,4,6,9,6,10,7,6,10,2,6,7,3
6,HC,HV,13,8,9,9,9,9,9,8,9,8,9,10,9,9,9,9,9,9,7
7,HC,HV,14,4,3,3,6,4,6,3,4,9,8,9,10,8,10,7,3,3,7
8,HC,HV,15,7,7,4,7,6,6,7,6,7,7,5,7,8,7,8,9,9,8
9,HC,HV,12,7,8,6,8,6,7,8,5,8,7,9,8,8,9,9,7,9,9
10,HC,HV,14,8,7,7,7,7,8,6,9,8,8,7,8,8,8,7,7,8,7
11,HC,HV,15,9,9,7,10,9,7,8,10,9,9,6,10,10,10,10,1,1,10
12,HC,HV,9,4,1,6,1,0,8,0,6,9,8,8,8,10,8,0,8,8,0
13,HC,HV,7,7,8,6,7,7,3,7,3,7,7,7,7,6,7,5,7,8,4
14,HC,HV,11,3,2,2,2,4,3,7,7,6,7,7,8,9,7,1,7,7,1
15,HC,HV,9,1,3,1,0,3,4,1,4,10,10,10,10,10,7,1,6,4,0
16,HC,HV,8,6,8,5,7,4,7,3,7,6,3,3,5,7,7,8,8,7,8
17,HC,HV,13,7,6,5,6,4,8,3,8,9,8,8,8,7,8,7,7,5,4
18,HC,HV,17,9,8,9,9,9,5,8,3,10,9,1,10,9,9,3,9,9,2
19,HC,HV,19,4,3,3,3,4,9,4,5,9,10,6,9,7,5,4,3,3,1
20,HC,HV,14,2,3,1,3,3,5,3,5,5,6,0,6,9,7,3,7,6,4
21,HC,HV,11,7,9,3,9,7,8,5,6,5,7,8,5,9,5,9,9,7,4
22,HC,HV,12,8,9,8,8,8,8,8,7,9,9,9,9,9,8,8,5,5,8
