id,cond,block,trial,real_weight,virtual_weight,rt_ms,tracked_path,target_x,target_y,target_z,gc_distance_last_target,camera_x,camera_y,camera_z,distance_camera_target
1,HC-HV,0,1,HC,HV,10390.15,36.80229,-1.545431E-07,3.535534,3.535534,0,0.09526819,1.619429,-0.6996907,4.64948
1,HC-HV,0,2,HC,HV,2842.401,3.065983,1.436151,2.25255,4.075368,2.03843,0.1102383,1.605621,-0.6734096,4.972671
1,HC-HV,0,3,HC,HV,3509.527,2.95304,-0.3027029,1.290186,4.299516,1.999033,0.08856553,1.6003,-0.6583576,4.982948
1,HC-HV,0,4,HC,HV,2765.528,3.181713,-1.24667,3.017772,3.946848,2.01287,0.08640081,1.602534,-0.6619878,5.002134
1,HC-HV,0,5,HC,HV,2021.431,2.644692,-3.027344,2.706093,3.091244,1.995249,0.07163167,1.603424,-0.6730685,4.998958
1,HC-HV,0,6,HC,HV,1698.975,1.921002,-3.927236,1.110912,2.287758,1.997176,0.04275721,1.593335,-0.6730882,4.975961
1,HC-HV,0,7,HC,HV,1177.919,1.752732,-3.08372,2.755538,3.051751,2.008409,0.06179041,1.596392,-0.6871456,5.021673
1,HC-HV,0,8,HC,HV,1987.373,2.150258,-3.01056,0.7602556,3.167921,2.000867,0.06044775,1.587777,-0.6861697,4.996988
1,HC-HV,0,9,HC,HV,1443.972,1.71359,-2.981457,2.759062,3.105256,2.002918,0.07026845,1.595339,-0.6998988,5.014627
1,HC-HV,0,10,HC,HV,1332.609,2.114926,-1.428622,1.933975,4.058111,1.990003,0.08809197,1.590985,-0.6882294,4.994578
1,HC-HV,1,11,HC,HV,1366.112,2.195655,-0.5904033,0.1181788,4.041515,2.009852,0.09825093,1.583188,-0.6561953,4.968801
1,HC-HV,1,12,HC,HV,1999.035,2.648365,0.88174,1.450767,4.280262,2.004908,0.1197283,1.581793,-0.6603546,5.000752
1,HC-HV,1,13,HC,HV,2188.194,2.475785,2.723814,1.831463,3.600679,1.995349,0.135061,1.584986,-0.6693908,4.999589
1,HC-HV,1,14,HC,HV,2498.55,2.284855,4.193118,1.717336,2.248598,1.968155,0.1715372,1.59634,-0.7001209,4.988256
1,HC-HV,1,15,HC,HV,1632.87,1.992169,3.128767,3.2449,2.97915,1.996602,0.1538172,1.604226,-0.6913409,5.001464
1,HC-HV,1,16,HC,HV,1199.245,1.664014,3.629458,1.310591,2.891074,2.000887,0.1570557,1.592049,-0.6921029,4.997595
1,HC-HV,1,17,HC,HV,1654.686,2.16395,2.657027,2.979535,3.409729,2.009676,0.1533532,1.594474,-0.6895165,4.999059
